Model,Win,Difficulty,Max_Turns,Iteration,Rule,Turns_Taken,Duration,Examples_Shown
gpt-4o-mini,0,L1,1,1,"def is_first_letter_consonant(word):
    return word[0].lower() not in 'aeiou'
generated_fn = is_first_letter_consonant
",1,7.39,4
gpt-4o-mini,0,L1,1,2,"def is_length_multiple_of_three(word):
    return len(word) % 3 == 0
generated_fn = is_length_multiple_of_three
",1,6.86,4
gpt-4o-mini,0,L1,1,3,"def has_more_even_indexed_letters(word):
    even_indexed_count = sum(1 for i in range(0, len(word), 2))
    return even_indexed_count > len(word) // 2
generated_fn = has_more_even_indexed_letters
",1,7.49,4
gpt-4o-mini,0,L1,1,4,"def is_three_or_more_vowels(word):
    vowels = 'aeiou'
    count = sum(1 for char in word.lower() if char in vowels)
    return count >= 3
generated_fn = is_three_or_more_vowels
",1,6.12,4
gpt-4o-mini,0,L1,1,5,"def has_odd_length_and_ends_with_vowel(word):
    return len(word) % 2 != 0 and word[-1].lower() in 'aeiou'
generated_fn = has_odd_length_and_ends_with_vowel
",1,6.18,4
gpt-4o-mini,0,L1,3,1,"def is_length_greater_than_four(word):
    return len(word) > 4
generated_fn = is_length_greater_than_four
",3,12.63,8
gpt-4o-mini,0,L1,3,2,"def is_length_prime(word):
    def is_prime(n):
        if n < 2:
            return False
        for i in range(2, int(n**0.5) + 1):
            if n % i == 0:
                return False
        return True
    
    return is_prime(len(word))

generated_fn = is_length_prime
",1,7.72,4
gpt-4o-mini,0,L1,3,3,"def is_odd_length_and_contains_s(word):
    return len(word) % 2 != 0 and 's' in word.lower()
generated_fn = is_odd_length_and_contains_s
",3,10.33,8
gpt-4o-mini,0,L1,3,4,"def has_odd_number_of_vowels(word):
    vowels = 'aeiou'
    count = sum(1 for char in word.lower() if char in vowels)
    return count % 2 != 0
generated_fn = has_odd_number_of_vowels
",3,11.64,8
gpt-4o-mini,0,L1,3,5,"def is_unique_length(word):
    return len(word) == len(set(word.lower()))
generated_fn = is_unique_length
",3,15.57,8
gpt-4o-mini,0,L1,5,1,"def has_distinct_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return vowel_count != len(set(char for char in word.lower() if char in vowels))

generated_fn = has_distinct_vowel_count
",5,26.9,12
gpt-4o-mini,0,L1,5,2,"def has_odd_length_and_contains_e(word):
    return len(word) % 2 != 0 and 'e' in word.lower()
generated_fn = has_odd_length_and_contains_e
",5,14.45,12
gpt-4o-mini,0,L1,5,3,"def is_vowel_end(word):
    return word[-1].lower() in 'aeiou'
generated_fn = is_vowel_end
",5,14.49,12
