Model,Difficulty,Max_Turns,Win,Turns_Taken,Duration,Examples_Shown
claude-3-haiku-20240307,L1,1,0.0,1.0,7.09,4.0
claude-3-haiku-20240307,L1,3,0.0,3.0,9.56,8.0
claude-3-haiku-20240307,L1,5,0.0,5.0,10.92,12.0
claude-3-haiku-20240307,L1,7,0.0,7.0,8.79,16.0
gemini-1.5-flash,L1,1,0.0,1.0,14.74,4.0
gemini-1.5-flash,L1,3,0.0,3.0,37.98,8.0
gemini-1.5-flash,L1,5,0.0,5.0,52.32,12.0
gemini-1.5-flash,L1,7,0.0,7.0,71.77,16.0
gpt-4o,L1,1,0.0,1.0,8.96,4.0
gpt-4o,L1,3,0.0,3.0,10.5,8.0
gpt-4o,L1,5,0.0,4.8,14.67,11.6
gpt-4o,L1,7,0.0,7.0,18.4,16.0
gpt-4o-mini,L1,1,0.0,1.0,6.81,4.0
gpt-4o-mini,L1,3,0.0,2.6,11.58,7.2
gpt-4o-mini,L1,5,0.0,5.0,19.25,12.0
gpt-4o-mini,L1,7,0.0,7.0,19.17,16.0
