Rule,Sequence
Rule: Add 5 each time.,[1]
"Rule: Start with 1 and add 2 each time to generate the sequence. 

Sequence: 1, 3, 5, 7, 9, ...",[10]
"Rule: Start with 1 and add 4 each time. 

Sequence: 1, 5, 9, 13, 17, ...",[10]
"Rule: Start at 1, then add 2 each time to get the next number in the sequence. 

Sequence: 1, 3, 5, 7, 9, 11, ...",[5]
Rule: Add 5 each time.,[6]
"Rule: Start with 1, then add 2 each time to get the next number in the sequence. 

Sequence: 1, 3, 5, 7, 9, ...",[5]
Rule: Add 5 each time.,[10]
"Rule: Start at 1 and add 2 each time. 

Sequence: 1, 3, 5, 7, 9, ...",[10]
"Rule: Start at 1 and add 5 each time. 

Sequence: 1, 6, 11, 16, 21, ...",[3]
"Rule: Start with 1, then add 2 each time to generate the sequence. 

Sequence: 1, 3, 5, 7, 9, ...",[6]
