Model,Win,Difficulty,Max_Turns,Iteration,Rule,Turns_Taken,Duration,Examples_Shown
gpt-4o-mini,0,L1,1,1,"def is_even_length_and_contains_e(word):
    return len(word) % 2 == 0 and 'e' in word.lower()
generated_fn = is_even_length_and_contains_e
",1,10.24,4
gpt-4o-mini,0,L1,1,2,"def is_unique_letter_count(word):
    return len(set(word.lower())) == len(word)

generated_fn = is_unique_letter_count
",1,7.05,4
gpt-4o-mini,0,L1,1,3,"def is_first_half_contains_a(word):
    half_length = len(word) // 2
    return 'a' in word[:half_length].lower()

generated_fn = is_first_half_contains_a
",1,7.37,4
gpt-4o-mini,0,L1,1,4,"def is_unique_start_and_even_length(word):
    return word[0].lower() not in 'aeiou' and len(word) % 2 == 0 and len(set(word.lower())) == len(word)

generated_fn = is_unique_start_and_even_length
",1,7.92,4
gpt-4o-mini,0,L1,1,5,"def is_unique_second_letter(word):
    return len(word) > 1 and word[1].lower() not in word[2:].lower()

generated_fn = is_unique_second_letter
",1,6.39,4
gpt-4o-mini,0,L1,3,1,"def is_unique_length_and_odd_consonant_count(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    consonant_count = sum(1 for char in word.lower() if char in consonants)
    return len(word) == len(set(word.lower())) and consonant_count % 2 != 0

generated_fn = is_unique_length_and_odd_consonant_count
",3,12.63,8
gpt-4o-mini,0,L1,3,2,"def is_even_length_and_contains_vowel(word):
    return len(word) % 2 == 0 and any(char in 'aeiou' for char in word.lower())
generated_fn = is_even_length_and_contains_vowel
",3,12.32,8
gpt-4o-mini,0,L1,3,3,"def is_unique_even_length_with_vowel(word):
    vowels = 'aeiou'
    return len(word) % 2 == 0 and len(set(word.lower())) == len(word) and any(char in vowels for char in word.lower())

generated_fn = is_unique_even_length_with_vowel
",3,11.38,8
gpt-4o-mini,0,L1,3,4,"def is_unique_consonant_count(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    unique_consonant_count = len(set(char.lower() for char in word if char.lower() in consonants))
    return unique_consonant_count > 3

generated_fn = is_unique_consonant_count
",3,10.7,8
gpt-4o-mini,0,L1,3,5,"def is_unique_letter_count_and_odd_length(word):
    return len(set(word.lower())) == len(word) and len(word) % 2 != 0

generated_fn = is_unique_letter_count_and_odd_length
",3,13.2,8
gpt-4o-mini,0,L1,5,1,"def is_length_divisible_by_three(word):
    return len(word) % 3 == 0

generated_fn = is_length_divisible_by_three
",5,22.37,12
gpt-4o-mini,0,L1,5,2,"def is_length_greater_than_five_and_contains_s(word):
    return len(word) > 5 and 's' in word.lower()

generated_fn = is_length_greater_than_five_and_contains_s
",5,35.89,12
gpt-4o-mini,0,L1,5,3,"def is_even_length_with_consonant_start(word):
    return len(word) % 2 == 0 and word[0].lower() not in 'aeiou'
generated_fn = is_even_length_with_consonant_start
",5,636.45,12
gpt-4o-mini,0,L1,5,4,"def is_vowel_end_and_odd_length(word):
    return word[-1].lower() in 'aeiou' and len(word) % 2 != 0

generated_fn = is_vowel_end_and_odd_length
",5,35.2,12
